question_id,question,reference_answer,source_topic,question_type,expected_answerable
1,What is the difference between a datum and data?,A datum is one observation or piece of information; data is the plural term for multiple observations.,Data definitions,definition,true
2,How does the textbook define a dataset?,A dataset is a collection of observations or data entities organized for analysis and interpretation.,Dataset definition,definition,true
3,What is the difference between structured and unstructured data?,Structured data follows a predefined consistent schema with clearly defined fields; unstructured data lacks a fixed schema and does not fit neatly into rows and columns.,Data structure,comparison,true
4,What characteristics make a dataset structured?,Its entities share the same attributes or fields and their values follow a consistent organization such as rows and columns.,Data structure,explanation,true
5,What are examples of unstructured datasets mentioned in the section?,Examples include Amazon product reviews; Twitter posts; public Instagram images; TikTok short videos; and free-form web-search phrases.,Unstructured data,examples,true
6,What is the difference between an item or entity and an attribute in a dataset?,An item or entity is one observation being described; an attribute is a feature or characteristic used to describe every such entity.,Entities and attributes,comparison,true
7,Why is temperature considered continuous numeric data in the jacket example?,Temperature is a measured quantity with numeric values and units; it is continuous because a reading can take any real-number value from an infinite set.,Data types,explanation,true
8,Why is the “Needed a Jacket?” column considered categorical nominal data?,Its values are labels from the finite set Yes and No and those labels have no inherent order.,Data types,explanation,true
9,Why can structured data be easier to analyze than unstructured data?,Consistent fields and a tabular organization make the same attributes easy to compare across records; unstructured data lacks that fixed organization.,Data structure,explanation,true
10,What structured data formats are introduced in the section?,The section introduces CSV; JSON; and XML.,Dataset formats,list,true
11,How does CSV differ from JSON when storing structured data?,CSV stores flat tabular records as lines with comma-separated values; JSON stores data as keys and values in objects and arrays and can represent nested structure.,Dataset formats,comparison,true
12,Why might an organization transform unstructured data before analysis?,It may convert unstructured content into consistent fields or records so data scientists can analyze it systematically.,Data preparation,reasoning,true
13,Why has data become increasingly important across modern industries?,The growth of digital data and computing created large complex datasets and new opportunities to extract insights for decisions and innovation across industries.,Data science context,reasoning,true
14,Does this section explain how cosine similarity is calculated?,No. The section does not provide information about how cosine similarity is calculated.,Section boundaries,unanswerable,false
15,Does this section explain how transformer neural networks generate embeddings?,No. The section does not provide information about how transformer neural networks generate embeddings.,Section boundaries,unanswerable,false
