experiment_id,question_id,question,expected_answerable,chunk_size,chunk_overlap,top_k,prompt_version,rag_answer,retrieved_chunk_ids,retrieved_similarities,highest_similarity,mean_similarity,lowest_similarity,retrieval_seconds,generation_seconds,total_seconds,retrieved_character_count,answer_character_count,correctness,groundedness,retrieval_hit,hallucination_handling,review_notes
baseline,1,What is the difference between a datum and data?,True,1000,200,3,strict,"The difference between a datum and data is that a datum refers to a singular given value, observation, or point of reference, while data refers to multiple observations. This distinction is explicitly stated in [chunk_0001].","[""chunk_0001"", ""chunk_0004"", ""chunk_0005""]","[0.76169284, 0.66638093, 0.62581187]",0.7616928376404546,0.6846285454186408,0.625811865256951,0.02531816600003367,10.093878167000184,10.119682874999853,2784,224,,,,,
baseline,2,How does the textbook define a dataset?,True,1000,200,3,strict,"The textbook defines a dataset as a collection of observations or data entities organized for analysis. In a tabular dataset, a row represents a unique entity, and a column represents an attribute. A jacket table with Date, Temperature, and Needed a Jacket is structured because each entity has those same attributes, and values fit neatly into table cells.  

[chunk_0000]  
[chunk_0005]","[""chunk_0004"", ""chunk_0000"", ""chunk_0005""]","[0.75440586, 0.6759683, 0.67148562]",0.7544058634715609,0.7006199286197005,0.6714856175506412,0.030790374999924097,1.6599227079996126,1.6908865420000438,2765,388,,,,,
baseline,3,What is the difference between structured and unstructured data?,True,1000,200,3,strict,"Structured data has a fixed schema with consistent attributes and tabular organization, while unstructured data lacks a fixed schema and may not fit neatly into rows and columns. For example, unstructured data like free-form text or images can be transformed into structured formats like CSV, JSON, or XML by adding metadata or attributes. Structured data is easier to analyze because of its consistent fields, whereas unstructured data often loses nuance when processed.  

[chunk_0005]  
[chunk_0006]","[""chunk_0005"", ""chunk_0006"", ""chunk_0007""]","[0.81287635, 0.80023811, 0.68445521]",0.8128763490569628,0.7658565578637319,0.6844552139540501,0.02035599999999249,1.5579318330001115,1.578355583999837,2754,502,,,,,
baseline,4,What characteristics make a dataset structured?,True,1000,200,3,strict,"A dataset is structured if it has a fixed schema and consistent attributes. This allows tools to compare the same attributes across records. For example, entities like ""semester,"" ""instructor,"" and ""rating"" have consistent fields, while values fit neatly into rows and columns. Structured data is easier to analyze because of its consistent fields and tabular organization.  

[chunk_0004]  
[chunk_0006]","[""chunk_0005"", ""chunk_0006"", ""chunk_0004""]","[0.75721139, 0.73368727, 0.71453479]",0.757211389919073,0.7351444819940428,0.7145347873209958,0.019007666000106838,1.3917742500002532,1.4108841669999492,2707,404,,,,,
baseline,5,What are examples of unstructured datasets mentioned in the section?,True,1000,200,3,strict,"The examples of unstructured datasets mentioned in the section are free-form text, images, video, and audio.","[""chunk_0006"", ""chunk_0005"", ""chunk_0007""]","[0.78178458, 0.73966102, 0.68660427]",0.781784579598114,0.7360166234461749,0.6866042734137854,0.020898666999983107,1.2194504580002103,1.24044641699993,2754,108,,,,,
baseline,6,What is the difference between an item or entity and an attribute in a dataset?,True,1000,200,3,strict,"The difference between an item or entity and an attribute in a dataset is that entities are the things or observations being described, while attributes are the properties used to describe them. This distinction is explicitly stated in the context: ""entities are the thing or observation being described; an attribute is one property used to describe it."" Citing chunk 0004, entities are the objects, and attributes are their characteristics.","[""chunk_0004"", ""chunk_0005"", ""chunk_0008""]","[0.81573231, 0.72950081, 0.65083215]",0.8157323144162265,0.7320217577306615,0.650832150912921,0.019900624999991123,1.4950159169998187,1.51504312499992,2769,442,,,,,
baseline,7,Why is temperature considered continuous numeric data in the jacket example?,True,1000,200,3,strict,"Temperature is considered continuous numeric data in the jacket example because it is a thermometer measurement with units, which allows for any real-number value within the measurement context (chunk_0003).","[""chunk_0003"", ""chunk_0004"", ""chunk_0002""]","[0.7175123, 0.65132259, 0.62293519]",0.7175122981571717,0.6639233582762075,0.6229351851561945,0.02031974999999875,1.0616640830003234,1.0820957910000288,2832,207,,,,,
baseline,8,Why is the “Needed a Jacket?” column considered categorical nominal data?,True,1000,200,3,strict,"The ""Needed a Jacket?"" column is categorical because its values come from a finite set of labels (Yes and No), and it is nominal because those labels have no inherent order. [chunk_0004]","[""chunk_0004"", ""chunk_0003"", ""chunk_0005""]","[0.71433971, 0.6785173, 0.63832141]",0.7143397118808364,0.6770594726505844,0.6383214065292189,0.01878195799963578,1.3784607080001479,1.3973626249999143,2817,186,,,,,
baseline,9,Why can structured data be easier to analyze than unstructured data?,True,1000,200,3,strict,"Structured data is easier to analyze than unstructured data because it has a predefined schema with consistent fields and tabular organization, allowing tools to compare attributes across records systematically. For example, transforming unstructured data into a structured format by adding attributes like a keyword and timestamp ensures consistency, which aligns with the analysis goal. This structure facilitates comparison and reduces ambiguity, making analysis more efficient. [chunk_0005] [chunk_0007]","[""chunk_0006"", ""chunk_0005"", ""chunk_0007""]","[0.79387394, 0.73820052, 0.6561296]",0.7938739388847115,0.7294013520382846,0.6561296009470776,0.02085800000031668,1.2964018749999013,1.3173146659996746,2754,507,,,,,
baseline,10,What structured data formats are introduced in the section?,True,1000,200,3,strict,"The structured data formats introduced in the section are CSV, JSON, and XML.","[""chunk_0007"", ""chunk_0006"", ""chunk_0005""]","[0.7543403, 0.73343192, 0.71855328]",0.7543403006333538,0.7354418341561461,0.7185532828260668,0.018662541000139754,0.7903710420000607,0.8091865420001341,2754,77,,,,,
