experiment_id,question_id,question,expected_answerable,rag_answer,retrieved_chunk_ids,retrieved_similarities,correctness,groundedness,retrieval_hit,hallucination_handling,review_notes
baseline,1,What is the difference between a datum and data?,True,"The difference between a datum and data is that a datum refers to a singular given value, observation, or point of reference, while data refers to multiple observations. This distinction is explicitly stated in [chunk_0001].","[""chunk_0001"", ""chunk_0004"", ""chunk_0005""]","[0.76169284, 0.66638093, 0.62581187]",2.0,1.0,1.0,,AI-assisted draft: fully correct and source-supported; requires human verification.
baseline,2,How does the textbook define a dataset?,True,"The textbook defines a dataset as a collection of observations or data entities organized for analysis. In a tabular dataset, a row represents a unique entity, and a column represents an attribute. A jacket table with Date, Temperature, and Needed a Jacket is structured because each entity has those same attributes, and values fit neatly into table cells.  

[chunk_0000]  
[chunk_0005]","[""chunk_0004"", ""chunk_0000"", ""chunk_0005""]","[0.75440586, 0.6759683, 0.67148562]",2.0,1.0,1.0,,AI-assisted draft: fully correct and source-supported; requires human verification.
baseline,3,What is the difference between structured and unstructured data?,True,"Structured data has a fixed schema with consistent attributes and tabular organization, while unstructured data lacks a fixed schema and may not fit neatly into rows and columns. For example, unstructured data like free-form text or images can be transformed into structured formats like CSV, JSON, or XML by adding metadata or attributes. Structured data is easier to analyze because of its consistent fields, whereas unstructured data often loses nuance when processed.  

[chunk_0005]  
[chunk_0006]","[""chunk_0005"", ""chunk_0006"", ""chunk_0007""]","[0.81287635, 0.80023811, 0.68445521]",2.0,1.0,1.0,,AI-assisted draft: fully correct and source-supported; requires human verification.
baseline,4,What characteristics make a dataset structured?,True,"A dataset is structured if it has a fixed schema and consistent attributes. This allows tools to compare the same attributes across records. For example, entities like ""semester,"" ""instructor,"" and ""rating"" have consistent fields, while values fit neatly into rows and columns. Structured data is easier to analyze because of its consistent fields and tabular organization.  

[chunk_0004]  
[chunk_0006]","[""chunk_0005"", ""chunk_0006"", ""chunk_0004""]","[0.75721139, 0.73368727, 0.71453479]",2.0,1.0,1.0,,AI-assisted draft: fully correct and source-supported; requires human verification.
baseline,5,What are examples of unstructured datasets mentioned in the section?,True,"The examples of unstructured datasets mentioned in the section are free-form text, images, video, and audio.","[""chunk_0006"", ""chunk_0005"", ""chunk_0007""]","[0.78178458, 0.73966102, 0.68660427]",1.0,1.0,1.0,,"AI-assisted draft: source-supported categories, but it omits the named dataset examples requested; requires human verification."
baseline,6,What is the difference between an item or entity and an attribute in a dataset?,True,"The difference between an item or entity and an attribute in a dataset is that entities are the things or observations being described, while attributes are the properties used to describe them. This distinction is explicitly stated in the context: ""entities are the thing or observation being described; an attribute is one property used to describe it."" Citing chunk 0004, entities are the objects, and attributes are their characteristics.","[""chunk_0004"", ""chunk_0005"", ""chunk_0008""]","[0.81573231, 0.72950081, 0.65083215]",2.0,1.0,1.0,,AI-assisted draft: fully correct and source-supported; requires human verification.
baseline,7,Why is temperature considered continuous numeric data in the jacket example?,True,"Temperature is considered continuous numeric data in the jacket example because it is a thermometer measurement with units, which allows for any real-number value within the measurement context (chunk_0003).","[""chunk_0003"", ""chunk_0004"", ""chunk_0002""]","[0.7175123, 0.65132259, 0.62293519]",2.0,1.0,1.0,,AI-assisted draft: fully correct and source-supported; requires human verification.
baseline,8,Why is the “Needed a Jacket?” column considered categorical nominal data?,True,"The ""Needed a Jacket?"" column is categorical because its values come from a finite set of labels (Yes and No), and it is nominal because those labels have no inherent order. [chunk_0004]","[""chunk_0004"", ""chunk_0003"", ""chunk_0005""]","[0.71433971, 0.6785173, 0.63832141]",2.0,1.0,1.0,,AI-assisted draft: fully correct and source-supported; requires human verification.
baseline,9,Why can structured data be easier to analyze than unstructured data?,True,"Structured data is easier to analyze than unstructured data because it has a predefined schema with consistent fields and tabular organization, allowing tools to compare attributes across records systematically. For example, transforming unstructured data into a structured format by adding attributes like a keyword and timestamp ensures consistency, which aligns with the analysis goal. This structure facilitates comparison and reduces ambiguity, making analysis more efficient. [chunk_0005] [chunk_0007]","[""chunk_0006"", ""chunk_0005"", ""chunk_0007""]","[0.79387394, 0.73820052, 0.6561296]",2.0,1.0,1.0,,AI-assisted draft: fully correct and source-supported; requires human verification.
baseline,10,What structured data formats are introduced in the section?,True,"The structured data formats introduced in the section are CSV, JSON, and XML.","[""chunk_0007"", ""chunk_0006"", ""chunk_0005""]","[0.7543403, 0.73343192, 0.71855328]",2.0,1.0,1.0,,AI-assisted draft: fully correct and source-supported; requires human verification.
